Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 1,2021-11-22T16:49:55-05:00,RG.F.F2018.OR.001.psdc,Ruler Tool,Custom (225 pixel(s) = 1.0000 millimeter),millimeter,225,1,0.553975,0
Ruler 2,2021-11-22T16:49:59-05:00,RG.F.F2018.OR.001.psdc,Ruler Tool,Custom (225 pixel(s) = 1.0000 millimeter),millimeter,225,1,0.525522,180
Ruler 3,2021-11-22T16:50:02-05:00,RG.F.F2018.OR.001.psdc,Ruler Tool,Custom (225 pixel(s) = 1.0000 millimeter),millimeter,225,1,1.079497,180
Ruler 4,2021-11-22T16:50:07-05:00,RG.F.F2018.OR.001.psdc,Ruler Tool,Custom (225 pixel(s) = 1.0000 millimeter),millimeter,225,1,2.217433,180
Ruler 5,2021-11-22T16:51:15-05:00,RG.F.F2018.OR.002.psdc,Ruler Tool,Custom (188 pixel(s) = 1.0000 millimeter),millimeter,188,1,0.549811,180
Ruler 6,2021-11-22T16:51:18-05:00,RG.F.F2018.OR.002.psdc,Ruler Tool,Custom (188 pixel(s) = 1.0000 millimeter),millimeter,188,1,0.406014,0
Ruler 7,2021-11-22T16:51:22-05:00,RG.F.F2018.OR.002.psdc,Ruler Tool,Custom (188 pixel(s) = 1.0000 millimeter),millimeter,188,1,0.265037,180
Ruler 8,2021-11-22T16:51:25-05:00,RG.F.F2018.OR.002.psdc,Ruler Tool,Custom (188 pixel(s) = 1.0000 millimeter),millimeter,188,1,0.224962,0
Ruler 9,2021-11-22T16:51:28-05:00,RG.F.F2018.OR.002.psdc,Ruler Tool,Custom (188 pixel(s) = 1.0000 millimeter),millimeter,188,1,1.445823,0
Ruler 10,2021-11-22T16:51:32-05:00,RG.F.F2018.OR.002.psdc,Ruler Tool,Custom (188 pixel(s) = 1.0000 millimeter),millimeter,188,1,2.776185,0
Ruler 11,2021-11-22T17:06:25-05:00,RG.F.F2018.OR.003.psdc,Ruler Tool,Custom (197 pixel(s) = 1.0000  millimeter), millimeter,197,1,0.492436,180
Ruler 12,2021-11-22T17:06:30-05:00,RG.F.F2018.OR.003.psdc,Ruler Tool,Custom (197 pixel(s) = 1.0000  millimeter), millimeter,197,1,0.670136,0
Ruler 13,2021-11-22T17:06:33-05:00,RG.F.F2018.OR.003.psdc,Ruler Tool,Custom (197 pixel(s) = 1.0000  millimeter), millimeter,197,1,1.162572,0
Ruler 14,2021-11-22T17:06:37-05:00,RG.F.F2018.OR.003.psdc,Ruler Tool,Custom (197 pixel(s) = 1.0000  millimeter), millimeter,197,1,2.296402,0
Ruler 15,2021-11-22T17:07:57-05:00,RG.F.F2018.OR.004.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,0.53419,180
Ruler 16,2021-11-22T17:08-05:00,RG.F.F2018.OR.004.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,0.667885,0
Ruler 17,2021-11-22T17:08:03-05:00,RG.F.F2018.OR.004.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,1.202075,0
Ruler 18,2021-11-22T17:08:07-05:00,RG.F.F2018.OR.004.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,2.406137,0
Ruler 19,2021-11-22T17:09:17-05:00,RG.F.F2018.OR.005.psdc,Ruler Tool,Custom (216 pixel(s) = 1.0000 millimeter),millimeter,216,1,0.569468,180
Ruler 20,2021-11-22T17:09:21-05:00,RG.F.F2018.OR.005.psdc,Ruler Tool,Custom (216 pixel(s) = 1.0000 millimeter),millimeter,216,1,0.516599,0
Ruler 21,2021-11-22T17:09:25-05:00,RG.F.F2018.OR.005.psdc,Ruler Tool,Custom (216 pixel(s) = 1.0000 millimeter),millimeter,216,1,1.086066,0
Ruler 22,2021-11-22T17:09:28-05:00,RG.F.F2018.OR.005.psdc,Ruler Tool,Custom (216 pixel(s) = 1.0000 millimeter),millimeter,216,1,2.229514,0
Ruler 23,2021-11-22T17:10:32-05:00,RG.F.F2018.OR.006.psdc,Ruler Tool,Custom (210 pixel(s) = 1.0000 millimeter),millimeter,210,1,0.620503,180
Ruler 24,2021-11-22T17:10:36-05:00,RG.F.F2018.OR.006.psdc,Ruler Tool,Custom (210 pixel(s) = 1.0000 millimeter),millimeter,210,1,0.567956,0
Ruler 25,2021-11-22T17:10:38-05:00,RG.F.F2018.OR.006.psdc,Ruler Tool,Custom (210 pixel(s) = 1.0000 millimeter),millimeter,210,1,1.188459,0
Ruler 26,2021-11-22T17:10:43-05:00,RG.F.F2018.OR.006.psdc,Ruler Tool,Custom (210 pixel(s) = 1.0000 millimeter),millimeter,210,1,2.529788,0
Ruler 27,2021-11-22T17:17:58-05:00,RG.F.F2018.OR.007.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,1.162871,180
Ruler 28,2021-11-22T17:18:02-05:00,RG.F.F2018.OR.007.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,0.282489,0
Ruler 29,2021-11-22T17:18:06-05:00,RG.F.F2018.OR.007.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,1.44536,0
Ruler 30,2021-11-22T17:18:09-05:00,RG.F.F2018.OR.007.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,2.644339,0
Ruler 31,2021-11-22T17:19:46-05:00,RG.F.F2018.OR.008.psdc,Ruler Tool,Custom (229 pixel(s) = 1.0000 millimeter),millimeter,229,1,0.495051,180
Ruler 32,2021-11-22T17:19:50-05:00,RG.F.F2018.OR.008.psdc,Ruler Tool,Custom (229 pixel(s) = 1.0000 millimeter),millimeter,229,1,0.640724,0
Ruler 33,2021-11-22T17:19:57-05:00,RG.F.F2018.OR.008.psdc,Ruler Tool,Custom (229 pixel(s) = 1.0000 millimeter),millimeter,229,1,1.135775,0
Ruler 34,2021-11-22T17:20:01-05:00,RG.F.F2018.OR.008.psdc,Ruler Tool,Custom (229 pixel(s) = 1.0000 millimeter),millimeter,229,1,2.209214,0
