Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Length	Angle
Ruler 73	2021-02-20T11:38:40-05:00	RG.M.SS2018.NC.001.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	0.781919	180
Ruler 74	2021-02-20T11:38:44-05:00	RG.M.SS2018.NC.001.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	0.663145	0
Ruler 75	2021-02-20T11:38:51-05:00	RG.M.SS2018.NC.001.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	0.580252	180
Ruler 76	2021-02-20T11:38:54-05:00	RG.M.SS2018.NC.001.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	0.574684	0
Ruler 77	2021-02-20T11:38:59-05:00	RG.M.SS2018.NC.001.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	2.6	0
Ruler 78	2021-02-20T11:39:17-05:00	RG.M.SS2018.NC.001.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	4.865199	0
Ruler 79	2021-02-20T11:41:52-05:00	RG.M.SS2018.NC.002.psdc	Ruler Tool	Custom (114 pixel(s) = 1.0000 millimeter)	millimeter	114	1	0.454424	180
Ruler 80	2021-02-20T11:41:56-05:00	RG.M.SS2018.NC.002.psdc	Ruler Tool	Custom (114 pixel(s) = 1.0000 millimeter)	millimeter	114	1	0.502259	0
Ruler 81	2021-02-20T11:41:59-05:00	RG.M.SS2018.NC.002.psdc	Ruler Tool	Custom (114 pixel(s) = 1.0000 millimeter)	millimeter	114	1	1.219771	180
Ruler 82	2021-02-20T11:42:02-05:00	RG.M.SS2018.NC.002.psdc	Ruler Tool	Custom (114 pixel(s) = 1.0000 millimeter)	millimeter	114	1	0.738688	0
Ruler 83	2021-02-20T11:42:06-05:00	RG.M.SS2018.NC.002.psdc	Ruler Tool	Custom (114 pixel(s) = 1.0000 millimeter)	millimeter	114	1	2.915142	0
Ruler 84	2021-02-20T11:42:09-05:00	RG.M.SS2018.NC.002.psdc	Ruler Tool	Custom (114 pixel(s) = 1.0000 millimeter)	millimeter	114	1	5.382747	0
Ruler 85	2021-02-20T11:44:58-05:00	RG.M.SS2018.NC.003.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	0.37953	180
Ruler 86	2021-02-20T11:45:01-05:00	RG.M.SS2018.NC.003.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	0.657558	0
Ruler 87	2021-02-20T11:45:05-05:00	RG.M.SS2018.NC.003.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	0.834084	180
Ruler 88	2021-02-20T11:45:09-05:00	RG.M.SS2018.NC.003.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	0.702019	0
Ruler 89	2021-02-20T11:45:15-05:00	RG.M.SS2018.NC.003.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	2.573191	0
Ruler 90	2021-02-20T11:45:19-05:00	RG.M.SS2018.NC.003.psdc	Ruler Tool	Custom (130 pixel(s) = 1.0000 millimeter)	millimeter	130	1	4.841923	0
Ruler 91	2021-02-20T11:48:22-05:00	RG.M.SS2018.NC.004.psdc	Ruler Tool	Custom (110 pixel(s) = 1.0000 millimeter)	millimeter	110	1	0.74797	180
Ruler 92	2021-02-20T11:48:25-05:00	RG.M.SS2018.NC.004.psdc	Ruler Tool	Custom (110 pixel(s) = 1.0000 millimeter)	millimeter	110	1	0.587948	0
Ruler 93	2021-02-20T11:48:28-05:00	RG.M.SS2018.NC.004.psdc	Ruler Tool	Custom (110 pixel(s) = 1.0000 millimeter)	millimeter	110	1	0.929434	180
Ruler 94	2021-02-20T11:48:36-05:00	RG.M.SS2018.NC.004.psdc	Ruler Tool	Custom (110 pixel(s) = 1.0000 millimeter)	millimeter	110	1	0.534382	180
Ruler 95	2021-02-20T11:48:39-05:00	RG.M.SS2018.NC.004.psdc	Ruler Tool	Custom (110 pixel(s) = 1.0000 millimeter)	millimeter	110	1	2.799734	180
Ruler 96	2021-02-20T11:48:46-05:00	RG.M.SS2018.NC.004.psdc	Ruler Tool	Custom (110 pixel(s) = 1.0000 millimeter)	millimeter	110	1	5.38339	180
Ruler 97	2021-02-20T11:50:50-05:00	RG.M.SS2018.NC.005.psdc	Ruler Tool	Custom (107 pixel(s) = 1.0000 millimeter)	millimeter	107	1	0.557077	180
Ruler 98	2021-02-20T11:50:54-05:00	RG.M.SS2018.NC.005.psdc	Ruler Tool	Custom (107 pixel(s) = 1.0000 millimeter)	millimeter	107	1	0.475837	0
Ruler 99	2021-02-20T11:50:57-05:00	RG.M.SS2018.NC.005.psdc	Ruler Tool	Custom (107 pixel(s) = 1.0000 millimeter)	millimeter	107	1	1.0039	180
Ruler 100	2021-02-20T11:51-05:00	RG.M.SS2018.NC.005.psdc	Ruler Tool	Custom (107 pixel(s) = 1.0000 millimeter)	millimeter	107	1	0.815743	0
Ruler 101	2021-02-20T11:51:03-05:00	RG.M.SS2018.NC.005.psdc	Ruler Tool	Custom (107 pixel(s) = 1.0000 millimeter)	millimeter	107	1	2.852557	0
