Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Length	Angle
Ruler 101	2021-11-22T18:39:30-05:00	RG.M.SU2018.OR.001.psdc	Ruler Tool	Custom (162 pixel(s) = 1.0000 millimeter)	millimeter	162	1	0.507993	180
Ruler 102	2021-11-22T18:39:34-05:00	RG.M.SU2018.OR.001.psdc	Ruler Tool	Custom (162 pixel(s) = 1.0000 millimeter)	millimeter	162	1	0.821824	0
Ruler 103	2021-11-22T18:39:37-05:00	RG.M.SU2018.OR.001.psdc	Ruler Tool	Custom (162 pixel(s) = 1.0000 millimeter)	millimeter	162	1	0.272157	180
Ruler 104	2021-11-22T18:42:37-05:00	RG.M.SU2018.OR.001.psdc	Ruler Tool	Custom (162 pixel(s) = 1.0000 millimeter)	millimeter	162	1	1.601973	180
Ruler 105	2021-11-22T18:42:40-05:00	RG.M.SU2018.OR.001.psdc	Ruler Tool	Custom (162 pixel(s) = 1.0000 millimeter)	millimeter	162	1	3.10084	180
Ruler 106	2021-11-22T18:43:42-05:00	RG.M.SU2018.OR.002.psdc	Ruler Tool	Custom (199 pixel(s) = 1.0000 millimeter)	millimeter	199	1	0.486459	180
Ruler 107	2021-11-22T18:43:51-05:00	RG.M.SU2018.OR.002.psdc	Ruler Tool	Custom (199 pixel(s) = 1.0000 millimeter)	millimeter	199	1	0.851583	180
Ruler 108	2021-11-22T18:43:54-05:00	RG.M.SU2018.OR.002.psdc	Ruler Tool	Custom (199 pixel(s) = 1.0000 millimeter)	millimeter	199	1	0.048062	0
Ruler 109	2021-11-22T18:43:58-05:00	RG.M.SU2018.OR.002.psdc	Ruler Tool	Custom (199 pixel(s) = 1.0000 millimeter)	millimeter	199	1	1.386103	0
Ruler 110	2021-11-22T18:44:06-05:00	RG.M.SU2018.OR.002.psdc	Ruler Tool	Custom (199 pixel(s) = 1.0000 millimeter)	millimeter	199	1	2.773026	0
Ruler 111	2021-11-22T18:45:19-05:00	RG.M.SU2018.OR.003.psdc	Ruler Tool	Custom (193 pixel(s) = 1.0000 millimeter)	millimeter	193	1	0.50855	180
Ruler 112	2021-11-22T18:45:22-05:00	RG.M.SU2018.OR.003.psdc	Ruler Tool	Custom (193 pixel(s) = 1.0000 millimeter)	millimeter	193	1	0.527121	0
Ruler 113	2021-11-22T18:45:25-05:00	RG.M.SU2018.OR.003.psdc	Ruler Tool	Custom (193 pixel(s) = 1.0000 millimeter)	millimeter	193	1	0.254953	180
Ruler 114	2021-11-22T18:45:29-05:00	RG.M.SU2018.OR.003.psdc	Ruler Tool	Custom (193 pixel(s) = 1.0000 millimeter)	millimeter	193	1	1.290625	180
Ruler 115	2021-11-22T18:45:33-05:00	RG.M.SU2018.OR.003.psdc	Ruler Tool	Custom (193 pixel(s) = 1.0000 millimeter)	millimeter	193	1	2.672681	180
Ruler 121	2021-11-22T18:47:59-05:00	RG.M.SU2018.OR.004.psdc	Ruler Tool	Custom (179 pixel(s) = 1.0000 millimeter)	millimeter	179	1	0.735185	180
Ruler 122	2021-11-22T18:48:17-05:00	RG.M.SU2018.OR.004.psdc	Ruler Tool	Custom (179 pixel(s) = 1.0000 millimeter)	millimeter	179	1	0.6877	0
Ruler 123	2021-11-22T18:49:54-05:00	RG.M.SU2018.OR.004.psdc	Ruler Tool	Custom (179 pixel(s) = 1.0000 millimeter)	millimeter	179	1	1.422885	0
Ruler 124	2021-11-22T18:50-05:00	RG.M.SU2018.OR.004.psdc	Ruler Tool	Custom (179 pixel(s) = 1.0000 millimeter)	millimeter	179	1	2.749752	0
Ruler 125	2021-11-22T18:52:33-05:00	RG.M.SU2018.OR.005.psdc	Ruler Tool	Custom (140 pixel(s) = 1.0000 millimeter)	millimeter	140	1	0.615	180
Ruler 126	2021-11-22T18:52:36-05:00	RG.M.SU2018.OR.005.psdc	Ruler Tool	Custom (140 pixel(s) = 1.0000 millimeter)	millimeter	140	1	0.440176	0
Ruler 127	2021-11-22T18:52:39-05:00	RG.M.SU2018.OR.005.psdc	Ruler Tool	Custom (140 pixel(s) = 1.0000 millimeter)	millimeter	140	1	0.963531	180
Ruler 128	2021-11-22T18:52:42-05:00	RG.M.SU2018.OR.005.psdc	Ruler Tool	Custom (140 pixel(s) = 1.0000 millimeter)	millimeter	140	1	0.273638	0
Ruler 129	2021-11-22T18:52:45-05:00	RG.M.SU2018.OR.005.psdc	Ruler Tool	Custom (140 pixel(s) = 1.0000 millimeter)	millimeter	140	1	2.292344	0
Ruler 130	2021-11-22T18:52:49-05:00	RG.M.SU2018.OR.005.psdc	Ruler Tool	Custom (140 pixel(s) = 1.0000 millimeter)	millimeter	140	1	4.190153	0
Ruler 1	2021-12-06T10:45:37-05:00	RG.M.SU2018.OR.006.psdc	Ruler Tool	Custom (158 pixel(s) = 1.0000 millimeter)	millimeter	158	1	0.441456	0
Ruler 2	2021-12-06T10:45:40-05:00	RG.M.SU2018.OR.006.psdc	Ruler Tool	Custom (158 pixel(s) = 1.0000 millimeter)	millimeter	158	1	0.47587	180
Ruler 3	2021-12-06T10:45:44-05:00	RG.M.SU2018.OR.006.psdc	Ruler Tool	Custom (158 pixel(s) = 1.0000 millimeter)	millimeter	158	1	0.407437	0
Ruler 4	2021-12-06T10:45:50-05:00	RG.M.SU2018.OR.006.psdc	Ruler Tool	Custom (158 pixel(s) = 1.0000 millimeter)	millimeter	158	1	0.314082	180
Ruler 5	2021-12-06T10:45:55-05:00	RG.M.SU2018.OR.006.psdc	Ruler Tool	Custom (158 pixel(s) = 1.0000 millimeter)	millimeter	158	1	0.356606	0
Ruler 6	2021-12-06T10:45:59-05:00	RG.M.SU2018.OR.006.psdc	Ruler Tool	Custom (158 pixel(s) = 1.0000 millimeter)	millimeter	158	1	1.995451	0
