Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 240,2021-02-17T20:10:54-05:00,RG.F.SS2018.NC.011.psdc,Ruler Tool,Custom (240 pixel(s) = 1.0000 millimeter),millimeter,240,1,0.477215,180
Ruler 241,2021-02-17T20:10:59-05:00,RG.F.SS2018.NC.011.psdc,Ruler Tool,Custom (240 pixel(s) = 1.0000 millimeter),millimeter,240,1,0.620902,180
Ruler 242,2021-02-17T20:11:03-05:00,RG.F.SS2018.NC.011.psdc,Ruler Tool,Custom (240 pixel(s) = 1.0000 millimeter),millimeter,240,1,1.098118,180
Ruler 243,2021-02-17T20:11:07-05:00,RG.F.SS2018.NC.011.psdc,Ruler Tool,Custom (240 pixel(s) = 1.0000 millimeter),millimeter,240,1,2.316667,180
Ruler 244,2021-02-17T20:12:29-05:00,RG.F.SS2018.NC.010.psdc,Ruler Tool,Custom (205 pixel(s) = 1.0000 millimeter),millimeter,205,1,0.607095,180
Ruler 245,2021-02-17T20:12:33-05:00,RG.F.SS2018.NC.010.psdc,Ruler Tool,Custom (205 pixel(s) = 1.0000 millimeter),millimeter,205,1,0.797269,0
Ruler 246,2021-02-17T20:12:36-05:00,RG.F.SS2018.NC.010.psdc,Ruler Tool,Custom (205 pixel(s) = 1.0000 millimeter),millimeter,205,1,1.404364,0
Ruler 247,2021-02-17T20:12:40-05:00,RG.F.SS2018.NC.010.psdc,Ruler Tool,Custom (205 pixel(s) = 1.0000 millimeter),millimeter,205,1,2.808728,0
Ruler 248,2021-02-17T20:13:54-05:00,RG.F.SS2018.NC.009.psdc,Ruler Tool,Custom (251 pixel(s) = 1.0000 millimeter),millimeter,251,1,0.903022,180
Ruler 249,2021-02-17T20:14:06-05:00,RG.F.SS2018.NC.009.psdc,Ruler Tool,Custom (251 pixel(s) = 1.0000 millimeter),millimeter,251,1,1.961444,180
Ruler 250,2021-02-17T20:16:01-05:00,RG.F.SS2018.NC.008.psdc,Ruler Tool,Custom (134 pixel(s) = 1.0000 millimeter),millimeter,134,1,0.804475,180
Ruler 251,2021-02-17T20:16:04-05:00,RG.F.SS2018.NC.008.psdc,Ruler Tool,Custom (134 pixel(s) = 1.0000 millimeter),millimeter,134,1,0.861625,0
Ruler 252,2021-02-17T20:16:08-05:00,RG.F.SS2018.NC.008.psdc,Ruler Tool,Custom (134 pixel(s) = 1.0000 millimeter),millimeter,134,1,0.777668,180
Ruler 253,2021-02-17T20:16:11-05:00,RG.F.SS2018.NC.008.psdc,Ruler Tool,Custom (134 pixel(s) = 1.0000 millimeter),millimeter,134,1,2.443767,180
Ruler 254,2021-02-17T20:16:18-05:00,RG.F.SS2018.NC.008.psdc,Ruler Tool,Custom (134 pixel(s) = 1.0000 millimeter),millimeter,134,1,4.679104,180
Ruler 255,2021-02-17T20:18:10-05:00,RG.F.SS2018.NC.007.psdc,Ruler Tool,Custom (151 pixel(s) = 1.0000 millimeter),millimeter,151,1,0.366707,180
Ruler 256,2021-02-17T20:18:14-05:00,RG.F.SS2018.NC.007.psdc,Ruler Tool,Custom (151 pixel(s) = 1.0000 millimeter),millimeter,151,1,0.564329,0
Ruler 257,2021-02-17T20:18:17-05:00,RG.F.SS2018.NC.007.psdc,Ruler Tool,Custom (151 pixel(s) = 1.0000 millimeter),millimeter,151,1,0.649833,180
Ruler 258,2021-02-17T20:18:25-05:00,RG.F.SS2018.NC.007.psdc,Ruler Tool,Custom (151 pixel(s) = 1.0000 millimeter),millimeter,151,1,0.640486,0
Ruler 259,2021-02-17T20:18:28-05:00,RG.F.SS2018.NC.007.psdc,Ruler Tool,Custom (151 pixel(s) = 1.0000 millimeter),millimeter,151,1,2.221355,0
