Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 163,2021-07-08T13:26:48-04:00,RG.F.SS2018.NR.032.psdc,Ruler Tool,Custom (160 pixel(s) = 1.0000 millimeter),millimeter,160,1,0.51706,0
Ruler 164,2021-07-08T13:26:51-04:00,RG.F.SS2018.NR.032.psdc,Ruler Tool,Custom (160 pixel(s) = 1.0000 millimeter),millimeter,160,1,0.749536,180
Ruler 165,2021-07-08T13:26:54-04:00,RG.F.SS2018.NR.032.psdc,Ruler Tool,Custom (160 pixel(s) = 1.0000 millimeter),millimeter,160,1,0.67739,0
Ruler 166,2021-07-08T13:26:59-04:00,RG.F.SS2018.NR.032.psdc,Ruler Tool,Custom (160 pixel(s) = 1.0000 millimeter),millimeter,160,1,1.943986,0
Ruler 167,2021-07-08T13:27:03-04:00,RG.F.SS2018.NR.032.psdc,Ruler Tool,Custom (160 pixel(s) = 1.0000 millimeter),millimeter,160,1,3.747835,0
Ruler 168,2021-07-08T13:31:27-04:00,RG.F.SS2018.NR.031.psdc,Ruler Tool,Custom (235 pixel(s) = 1.0000 millimeter),millimeter,235,1,0.730523,180
Ruler 169,2021-07-08T13:31:31-04:00,RG.F.SS2018.NR.031.psdc,Ruler Tool,Custom (235 pixel(s) = 1.0000 millimeter),millimeter,235,1,0.530987,0
Ruler 170,2021-07-08T13:31:36-04:00,RG.F.SS2018.NR.031.psdc,Ruler Tool,Custom (235 pixel(s) = 1.0000 millimeter),millimeter,235,1,1.26151,0
Ruler 171,2021-07-08T13:31:47-04:00,RG.F.SS2018.NR.031.psdc,Ruler Tool,Custom (235 pixel(s) = 1.0000 millimeter),millimeter,235,1,2.517944,0
Ruler 172,2021-07-08T13:50:10-04:00,RG.F.SS2018.NR.029.psdc,Ruler Tool,Custom (230 pixel(s) = 1.0000 millimeter),millimeter,230,1,0.755372,180
Ruler 173,2021-07-08T13:50:14-04:00,RG.F.SS2018.NR.029.psdc,Ruler Tool,Custom (230 pixel(s) = 1.0000 millimeter),millimeter,230,1,0.572603,0
Ruler 174,2021-07-08T13:50:17-04:00,RG.F.SS2018.NR.029.psdc,Ruler Tool,Custom (230 pixel(s) = 1.0000 millimeter),millimeter,230,1,1.327975,0
Ruler 175,2021-07-08T13:50:20-04:00,RG.F.SS2018.NR.029.psdc,Ruler Tool,Custom (230 pixel(s) = 1.0000 millimeter),millimeter,230,1,2.686318,0
Ruler 176,2021-07-08T13:52:10-04:00,RG.F.SS2018.NR.025.psdc,Ruler Tool,Custom (182 pixel(s) = 1.0000 millimeter),millimeter,182,1,0.662382,180
Ruler 177,2021-07-08T13:52:15-04:00,RG.F.SS2018.NR.025.psdc,Ruler Tool,Custom (182 pixel(s) = 1.0000 millimeter),millimeter,182,1,0.520909,0
Ruler 178,2021-07-08T13:52:19-04:00,RG.F.SS2018.NR.025.psdc,Ruler Tool,Custom (182 pixel(s) = 1.0000 millimeter),millimeter,182,1,0.406789,180
Ruler 179,2021-07-08T13:52:37-04:00,RG.F.SS2018.NR.025.psdc,Ruler Tool,Custom (182 pixel(s) = 1.0000 millimeter),millimeter,182,1,1.590081,180
Ruler 180,2021-07-08T13:52:41-04:00,RG.F.SS2018.NR.025.psdc,Ruler Tool,Custom (182 pixel(s) = 1.0000 millimeter),millimeter,182,1,2.953493,180
Ruler 181,2021-07-08T13:54:59-04:00,RG.F.SS2018.NR.024.psdc,Ruler Tool,Custom (227 pixel(s) = 1.0000 millimeter),millimeter,227,1,0.492687,180
Ruler 182,2021-07-08T13:55:02-04:00,RG.F.SS2018.NR.024.psdc,Ruler Tool,Custom (227 pixel(s) = 1.0000 millimeter),millimeter,227,1,0.898394,0
Ruler 183,2021-07-08T13:55:07-04:00,RG.F.SS2018.NR.024.psdc,Ruler Tool,Custom (227 pixel(s) = 1.0000 millimeter),millimeter,227,1,1.39108,0
Ruler 184,2021-07-08T13:55:10-04:00,RG.F.SS2018.NR.024.psdc,Ruler Tool,Custom (227 pixel(s) = 1.0000 millimeter),millimeter,227,1,2.697249,0
Ruler 185,2021-07-08T14:31:31-04:00,RG.F.SS2018.NR.023.psdc,Ruler Tool,Custom (231 pixel(s) = 1.0000 millimeter),millimeter,231,1,0.532273,180
Ruler 186,2021-07-08T14:31:34-04:00,RG.F.SS2018.NR.023.psdc,Ruler Tool,Custom (231 pixel(s) = 1.0000 millimeter),millimeter,231,1,0.858619,0
Ruler 187,2021-07-08T14:31:37-04:00,RG.F.SS2018.NR.023.psdc,Ruler Tool,Custom (231 pixel(s) = 1.0000 millimeter),millimeter,231,1,1.390892,0
Ruler 188,2021-07-08T14:31:41-04:00,RG.F.SS2018.NR.023.psdc,Ruler Tool,Custom (231 pixel(s) = 1.0000 millimeter),millimeter,231,1,2.689225,0
Ruler 189,2021-07-08T14:34:28-04:00,RG.F.SS2018.NR.022.psdc,Ruler Tool,Custom (234 pixel(s) = 1.0000 millimeter),millimeter,234,1,0.772185,180
Ruler 190,2021-07-08T14:34:32-04:00,RG.F.SS2018.NR.022.psdc,Ruler Tool,Custom (234 pixel(s) = 1.0000 millimeter),millimeter,234,1,0.407844,0
Ruler 191,2021-07-08T14:34:36-04:00,RG.F.SS2018.NR.022.psdc,Ruler Tool,Custom (234 pixel(s) = 1.0000 millimeter),millimeter,234,1,1.180029,0
Ruler 192,2021-07-08T14:34:40-04:00,RG.F.SS2018.NR.022.psdc,Ruler Tool,Custom (234 pixel(s) = 1.0000 millimeter),millimeter,234,1,2.272279,0
Ruler 193,2021-07-08T14:36:09-04:00,RG.F.SS2018.NR.021.psdc,Ruler Tool,Custom (189 pixel(s) = 1.0000 millimeter),millimeter,189,1,0.539482,180
Ruler 194,2021-07-08T14:36:13-04:00,RG.F.SS2018.NR.021.psdc,Ruler Tool,Custom (189 pixel(s) = 1.0000 millimeter),millimeter,189,1,1.023128,0
Ruler 195,2021-07-08T14:36:16-04:00,RG.F.SS2018.NR.021.psdc,Ruler Tool,Custom (189 pixel(s) = 1.0000 millimeter),millimeter,189,1,1.56261,0
Ruler 196,2021-07-08T14:36:20-04:00,RG.F.SS2018.NR.021.psdc,Ruler Tool,Custom (189 pixel(s) = 1.0000 millimeter),millimeter,189,1,3.125216,0
Ruler 197,2021-07-08T14:39:37-04:00,RG.F.SS2018.NR.020.psdc,Ruler Tool,Custom (207 pixel(s) = 1.0000 millimeter),millimeter,207,1,0.497654,180
Ruler 198,2021-07-08T14:39:40-04:00,RG.F.SS2018.NR.020.psdc,Ruler Tool,Custom (207 pixel(s) = 1.0000 millimeter),millimeter,207,1,0.552299,0
Ruler 199,2021-07-08T14:39:43-04:00,RG.F.SS2018.NR.020.psdc,Ruler Tool,Custom (207 pixel(s) = 1.0000 millimeter),millimeter,207,1,0.33415,180
Ruler 200,2021-07-08T14:39:46-04:00,RG.F.SS2018.NR.020.psdc,Ruler Tool,Custom (207 pixel(s) = 1.0000 millimeter),millimeter,207,1,1.384103,180
Ruler 201,2021-07-08T14:39:50-04:00,RG.F.SS2018.NR.020.psdc,Ruler Tool,Custom (207 pixel(s) = 1.0000 millimeter),millimeter,207,1,2.82255,180
Ruler 206,2021-07-08T14:42:44-04:00,RG.F.SS2018.NR.019.psdc,Ruler Tool,Custom (219 pixel(s) = 1.0000 millimeter),millimeter,219,1,0.442923,180
Ruler 207,2021-07-08T14:42:48-04:00,RG.F.SS2018.NR.019.psdc,Ruler Tool,Custom (219 pixel(s) = 1.0000 millimeter),millimeter,219,1,0.811022,0
Ruler 208,2021-07-08T14:42:50-04:00,RG.F.SS2018.NR.019.psdc,Ruler Tool,Custom (219 pixel(s) = 1.0000 millimeter),millimeter,219,1,1.253944,0
Ruler 209,2021-07-08T14:42:54-04:00,RG.F.SS2018.NR.019.psdc,Ruler Tool,Custom (219 pixel(s) = 1.0000 millimeter),millimeter,219,1,2.502756,0
Ruler 217,2021-07-08T14:49:33-04:00,RG.F.SS2018.NR.018.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,0.56558,0
Ruler 218,2021-07-08T14:49:36-04:00,RG.F.SS2018.NR.018.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,0.432037,180
Ruler 219,2021-07-08T14:49:39-04:00,RG.F.SS2018.NR.018.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,0.313955,0
Ruler 220,2021-07-08T14:49:42-04:00,RG.F.SS2018.NR.018.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,0.243973,180
Ruler 221,2021-07-08T14:49:48-04:00,RG.F.SS2018.NR.018.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,0.257973,0
Ruler 222,2021-07-08T14:49:58-04:00,RG.F.SS2018.NR.018.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,0.159876,180
Ruler 223,2021-07-08T14:50:04-04:00,RG.F.SS2018.NR.018.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,1.973394,180
Ruler 224,2021-07-08T14:50:18-04:00,RG.F.SS2018.NR.018.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,3.76804,180
Ruler 225,2021-07-08T14:52:31-04:00,RG.F.SS2018.NR.017.psdc,Ruler Tool,Custom (160 pixel(s) = 1.0000 millimeter),millimeter,160,1,0.541567,180
