Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 107,2021-07-08T12:18:39-04:00,RG.F.SS2018.OR.010.psdc,Ruler Tool,Custom (243 pixel(s) = 1.0000 millimeter),millimeter,243,1,0.69658,180
Ruler 108,2021-07-08T12:18:43-04:00,RG.F.SS2018.OR.010.psdc,Ruler Tool,Custom (243 pixel(s) = 1.0000 millimeter),millimeter,243,1,0.565846,0
Ruler 109,2021-07-08T12:19:16-04:00,RG.F.SS2018.OR.010.psdc,Ruler Tool,Custom (243 pixel(s) = 1.0000 millimeter),millimeter,243,1,1.262426,0
Ruler 110,2021-07-08T12:19:20-04:00,RG.F.SS2018.OR.010.psdc,Ruler Tool,Custom (243 pixel(s) = 1.0000 millimeter),millimeter,243,1,2.407476,0
Ruler 118,2021-07-08T12:32:07-04:00,RG.F.SS2018.OR.009.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.359416,180
Ruler 119,2021-07-08T12:32:11-04:00,RG.F.SS2018.OR.009.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.42098,0
Ruler 120,2021-07-08T12:32:15-04:00,RG.F.SS2018.OR.009.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.319168,180
Ruler 121,2021-07-08T12:32:20-04:00,RG.F.SS2018.OR.009.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.281443,0
Ruler 122,2021-07-08T12:32:23-04:00,RG.F.SS2018.OR.009.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,1.381007,0
Ruler 123,2021-07-08T12:32:30-04:00,RG.F.SS2018.OR.009.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,2.667235,0
Ruler 124,2021-07-08T12:34:42-04:00,RG.F.SS2018.OR.008.psdc,Ruler Tool,Custom (223 pixel(s) = 1.0000 millimeter),millimeter,223,1,0.634317,180
Ruler 125,2021-07-08T12:34:46-04:00,RG.F.SS2018.OR.008.psdc,Ruler Tool,Custom (223 pixel(s) = 1.0000 millimeter),millimeter,223,1,0.742647,0
Ruler 126,2021-07-08T12:34:49-04:00,RG.F.SS2018.OR.008.psdc,Ruler Tool,Custom (223 pixel(s) = 1.0000 millimeter),millimeter,223,1,1.376964,0
Ruler 127,2021-07-08T12:34:54-04:00,RG.F.SS2018.OR.008.psdc,Ruler Tool,Custom (223 pixel(s) = 1.0000 millimeter),millimeter,223,1,2.596438,0
