Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 44,2021-07-09T10:48:18-04:00,RG.M.SS2018.NR.081.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,0.597934,180
Ruler 45,2021-07-09T10:48:22-04:00,RG.M.SS2018.NR.081.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,0.480966,0
Ruler 46,2021-07-09T10:48:24-04:00,RG.M.SS2018.NR.081.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,1.159127,180
Ruler 47,2021-07-09T10:48:28-04:00,RG.M.SS2018.NR.081.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,0.811767,0
Ruler 48,2021-07-09T10:48:31-04:00,RG.M.SS2018.NR.081.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,3.049794,0
Ruler 49,2021-07-09T10:48:35-04:00,RG.M.SS2018.NR.081.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,5.822989,0
Ruler 50,2021-07-09T10:51:59-04:00,RG.M.SS2018.NR.080.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,0.606671,180
Ruler 51,2021-07-09T10:52:02-04:00,RG.M.SS2018.NR.080.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,0.500486,0
Ruler 52,2021-07-09T10:52:05-04:00,RG.M.SS2018.NR.080.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,1.123183,180
Ruler 53,2021-07-09T10:52:08-04:00,RG.M.SS2018.NR.080.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,0.75762,0
Ruler 54,2021-07-09T10:52:11-04:00,RG.M.SS2018.NR.080.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,2.987959,0
Ruler 55,2021-07-09T10:52:15-04:00,RG.M.SS2018.NR.080.psdc,Ruler Tool,Custom (101 pixel(s) = 1.0000 millimeter),millimeter,101,1,5.617714,0
Ruler 56,2021-07-09T10:54:39-04:00,RG.M.SS2018.NR.079.psdc,Ruler Tool,Custom (130 pixel(s) = 1.0000 millimeter),millimeter,130,1,0.715123,180
Ruler 57,2021-07-09T10:54:42-04:00,RG.M.SS2018.NR.079.psdc,Ruler Tool,Custom (130 pixel(s) = 1.0000 millimeter),millimeter,130,1,0.707154,0
Ruler 58,2021-07-09T10:54:45-04:00,RG.M.SS2018.NR.079.psdc,Ruler Tool,Custom (130 pixel(s) = 1.0000 millimeter),millimeter,130,1,0.787358,180
Ruler 59,2021-07-09T10:54:48-04:00,RG.M.SS2018.NR.079.psdc,Ruler Tool,Custom (130 pixel(s) = 1.0000 millimeter),millimeter,130,1,0.519448,0
Ruler 60,2021-07-09T10:54:52-04:00,RG.M.SS2018.NR.079.psdc,Ruler Tool,Custom (130 pixel(s) = 1.0000 millimeter),millimeter,130,1,2.729083,0
Ruler 61,2021-07-09T10:54:56-04:00,RG.M.SS2018.NR.079.psdc,Ruler Tool,Custom (130 pixel(s) = 1.0000 millimeter),millimeter,130,1,4.992199,0
Ruler 62,2021-07-09T10:56:55-04:00,RG.M.SS2018.NR.078.psdc,Ruler Tool,Custom (120 pixel(s) = 1.0000 millimeter),millimeter,120,1,0.473782,180
Ruler 63,2021-07-09T10:56:58-04:00,RG.M.SS2018.NR.078.psdc,Ruler Tool,Custom (120 pixel(s) = 1.0000 millimeter),millimeter,120,1,0.541887,0
Ruler 64,2021-07-09T10:57:01-04:00,RG.M.SS2018.NR.078.psdc,Ruler Tool,Custom (120 pixel(s) = 1.0000 millimeter),millimeter,120,1,0.794272,180
Ruler 65,2021-07-09T10:57:05-04:00,RG.M.SS2018.NR.078.psdc,Ruler Tool,Custom (120 pixel(s) = 1.0000 millimeter),millimeter,120,1,0.724323,0
Ruler 66,2021-07-09T10:57:09-04:00,RG.M.SS2018.NR.078.psdc,Ruler Tool,Custom (120 pixel(s) = 1.0000 millimeter),millimeter,120,1,2.534264,0
Ruler 67,2021-07-09T10:57:13-04:00,RG.M.SS2018.NR.078.psdc,Ruler Tool,Custom (120 pixel(s) = 1.0000 millimeter),millimeter,120,1,5.078595,0
Ruler 68,2021-07-09T10:59:23-04:00,RG.M.SS2018.NR.077.psdc,Ruler Tool,Custom (113 pixel(s) = 1.0000 millimeter),millimeter,113,1,0.699904,180
Ruler 69,2021-07-09T10:59:28-04:00,RG.M.SS2018.NR.077.psdc,Ruler Tool,Custom (113 pixel(s) = 1.0000 millimeter),millimeter,113,1,0.667945,0
