Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 1,2022-01-08T12:40:52-05:00,RG.M.SS2018.OR.001.psdc,Ruler Tool,Custom (172 pixel(s) = 1.0000 millimeter),millimeter,172,1,0.415698,0
Ruler 2,2022-01-08T12:40:57-05:00,RG.M.SS2018.OR.001.psdc,Ruler Tool,Custom (172 pixel(s) = 1.0000 millimeter),millimeter,172,1,0.37173,180
Ruler 3,2022-01-08T12:41-05:00,RG.M.SS2018.OR.001.psdc,Ruler Tool,Custom (172 pixel(s) = 1.0000 millimeter),millimeter,172,1,0.57649,0
Ruler 4,2022-01-08T12:41:04-05:00,RG.M.SS2018.OR.001.psdc,Ruler Tool,Custom (172 pixel(s) = 1.0000 millimeter),millimeter,172,1,0.636265,180
Ruler 5,2022-01-08T12:41:07-05:00,RG.M.SS2018.OR.001.psdc,Ruler Tool,Custom (172 pixel(s) = 1.0000 millimeter),millimeter,172,1,2.000182,180
Ruler 6,2022-01-08T12:41:11-05:00,RG.M.SS2018.OR.001.psdc,Ruler Tool,Custom (172 pixel(s) = 1.0000 millimeter),millimeter,172,1,3.610283,180
Ruler 7,2022-01-08T12:41:25-05:00,RG.M.SS2018.OR.002.psdc,Ruler Tool,Custom (226 pixel(s) = 1.0000 millimeter),millimeter,226,1,0.60094,180
Ruler 8,2022-01-08T12:41:29-05:00,RG.M.SS2018.OR.002.psdc,Ruler Tool,Custom (226 pixel(s) = 1.0000 millimeter),millimeter,226,1,0.503733,0
Ruler 9,2022-01-08T12:41:34-05:00,RG.M.SS2018.OR.002.psdc,Ruler Tool,Custom (226 pixel(s) = 1.0000 millimeter),millimeter,226,1,1.104674,0
Ruler 10,2022-01-08T12:41:37-05:00,RG.M.SS2018.OR.003.psdc,Ruler Tool,Custom (226 pixel(s) = 1.0000 millimeter),millimeter,226,1,2.182937,0
Ruler 11,2022-01-08T12:41:47-05:00,RG.M.SS2018.OR.003.psdc,Ruler Tool,Custom (178 pixel(s) = 1.0000 millimeter),millimeter,178,1,0.41415,180
Ruler 12,2022-01-08T12:41:50-05:00,RG.M.SS2018.OR.003.psdc,Ruler Tool,Custom (178 pixel(s) = 1.0000 millimeter),millimeter,178,1,0.475421,0
Ruler 13,2022-01-08T12:41:54-05:00,RG.M.SS2018.OR.003.psdc,Ruler Tool,Custom (178 pixel(s) = 1.0000 millimeter),millimeter,178,1,0.635183,180
Ruler 14,2022-01-08T12:41:58-05:00,RG.M.SS2018.OR.003.psdc,Ruler Tool,Custom (178 pixel(s) = 1.0000 millimeter),millimeter,178,1,1.524754,180
Ruler 15,2022-01-08T12:42:02-05:00,RG.M.SS2018.OR.004.psdc,Ruler Tool,Custom (178 pixel(s) = 1.0000 millimeter),millimeter,178,1,3.020014,180
Ruler 16,2022-01-08T12:42:17-05:00,RG.M.SS2018.OR.004.psdc,Ruler Tool,Custom (185 pixel(s) = 1.0000 millimeter),millimeter,185,1,0.603885,180
Ruler 17,2022-01-08T12:42:20-05:00,RG.M.SS2018.OR.004.psdc,Ruler Tool,Custom (185 pixel(s) = 1.0000 millimeter),millimeter,185,1,0.834628,0
Ruler 18,2022-01-08T12:42:23-05:00,RG.M.SS2018.OR.004.psdc,Ruler Tool,Custom (185 pixel(s) = 1.0000 millimeter),millimeter,185,1,1.438514,0
Ruler 19,2022-01-08T12:42:28-05:00,RG.M.SS2018.OR.004.psdc,Ruler Tool,Custom (185 pixel(s) = 1.0000 millimeter),millimeter,185,1,2.915372,0
Ruler 22,2022-01-08T12:43-05:00,RG.M.SS2018.OR.005.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,0.579915,0
Ruler 23,2022-01-08T12:43:05-05:00,RG.M.SS2018.OR.005.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,0.818522,180
Ruler 24,2022-01-08T12:43:08-05:00,RG.M.SS2018.OR.005.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,1.398438,180
Ruler 25,2022-01-08T12:43:12-05:00,RG.M.SS2018.OR.005.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,2.909993,180
