Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 206,2021-02-17T19:39:15-05:00,RG.F.SU2018.NC.006.psdc,Ruler Tool,Custom (213 pixel(s) = 1.0000 millimeter),millimeter,213,1,0.61711,180
Ruler 207,2021-02-17T19:39:25-05:00,RG.F.SU2018.NC.006.psdc,Ruler Tool,Custom (213 pixel(s) = 1.0000 millimeter),millimeter,213,1,0.75173,180
Ruler 208,2021-02-17T19:39:30-05:00,RG.F.SU2018.NC.006.psdc,Ruler Tool,Custom (213 pixel(s) = 1.0000 millimeter),millimeter,213,1,1.36884,180
Ruler 209,2021-02-17T19:39:35-05:00,RG.F.SU2018.NC.006.psdc,Ruler Tool,Custom (213 pixel(s) = 1.0000 millimeter),millimeter,213,1,2.559133,180
Ruler 210,2021-02-17T19:42:06-05:00,RG.F.SU2018.NC.005.psdc,Ruler Tool,Custom (242 pixel(s) = 1.0000 millimeter),millimeter,242,1,0.743342,180
Ruler 211,2021-02-17T19:42:15-05:00,RG.F.SU2018.NC.005.psdc,Ruler Tool,Custom (242 pixel(s) = 1.0000 millimeter),millimeter,242,1,0.434459,180
Ruler 212,2021-02-17T19:42:18-05:00,RG.F.SU2018.NC.005.psdc,Ruler Tool,Custom (242 pixel(s) = 1.0000 millimeter),millimeter,242,1,1.177801,180
Ruler 213,2021-02-17T19:42:22-05:00,RG.F.SU2018.NC.005.psdc,Ruler Tool,Custom (242 pixel(s) = 1.0000 millimeter),millimeter,242,1,2.277674,180
Ruler 214,2021-02-17T19:43:55-05:00,RG.F.SU2018.NC.004.psdc,Ruler Tool,Custom (241 pixel(s) = 1.0000 millimeter),millimeter,241,1,0.69684,180
Ruler 215,2021-02-17T19:44-05:00,RG.F.SU2018.NC.004.psdc,Ruler Tool,Custom (241 pixel(s) = 1.0000 millimeter),millimeter,241,1,0.386249,180
Ruler 216,2021-02-17T19:44:03-05:00,RG.F.SU2018.NC.004.psdc,Ruler Tool,Custom (241 pixel(s) = 1.0000 millimeter),millimeter,241,1,1.083089,180
Ruler 217,2021-02-17T19:44:07-05:00,RG.F.SU2018.NC.004.psdc,Ruler Tool,Custom (241 pixel(s) = 1.0000 millimeter),millimeter,241,1,2.236297,180
Ruler 218,2021-02-17T19:45:38-05:00,RG.F.SU2018.NC.003.psdc,Ruler Tool,Custom (241 pixel(s) = 1.0000 millimeter),millimeter,241,1,0.808833,180
Ruler 219,2021-02-17T19:45:44-05:00,RG.F.SU2018.NC.003.psdc,Ruler Tool,Custom (241 pixel(s) = 1.0000 millimeter),millimeter,241,1,0.370249,180
Ruler 220,2021-02-17T19:45:47-05:00,RG.F.SU2018.NC.003.psdc,Ruler Tool,Custom (241 pixel(s) = 1.0000 millimeter),millimeter,241,1,1.179081,180
Ruler 221,2021-02-17T19:45:51-05:00,RG.F.SU2018.NC.003.psdc,Ruler Tool,Custom (241 pixel(s) = 1.0000 millimeter),millimeter,241,1,2.320297,180
Ruler 222,2021-02-17T19:48:15-05:00,RG.F.SU2018.NC.002.psdc,Ruler Tool,Custom (181 pixel(s) = 1.0000 millimeter),millimeter,181,1,0.601905,180
Ruler 223,2021-02-17T19:48:19-05:00,RG.F.SU2018.NC.002.psdc,Ruler Tool,Custom (181 pixel(s) = 1.0000 millimeter),millimeter,181,1,0.725373,180
Ruler 224,2021-02-17T19:48:24-05:00,RG.F.SU2018.NC.002.psdc,Ruler Tool,Custom (181 pixel(s) = 1.0000 millimeter),millimeter,181,1,0.233556,180
Ruler 225,2021-02-17T19:48:28-05:00,RG.F.SU2018.NC.002.psdc,Ruler Tool,Custom (181 pixel(s) = 1.0000 millimeter),millimeter,181,1,1.560833,180
Ruler 226,2021-02-17T19:48:35-05:00,RG.F.SU2018.NC.002.psdc,Ruler Tool,Custom (181 pixel(s) = 1.0000 millimeter),millimeter,181,1,3.137404,180
Ruler 227,2021-02-17T19:50:26-05:00,RG.F.SU2018.NC.001.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,0.590092,180
Ruler 228,2021-02-17T19:50:31-05:00,RG.F.SU2018.NC.001.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,0.594277,180
Ruler 229,2021-02-17T19:50:36-05:00,RG.F.SU2018.NC.001.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,0.267843,180
Ruler 230,2021-02-17T19:50:39-05:00,RG.F.SU2018.NC.001.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,1.452212,180
Ruler 231,2021-02-17T19:50:44-05:00,RG.F.SU2018.NC.001.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,2.933719,180
