Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 4,2021-02-17T12:54:42-05:00,RG.F.SU2018.OC.035.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.418552,0
Ruler 5,2021-02-17T12:54:52-05:00,RG.F.SU2018.OC.035.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.547511,180
Ruler 6,2021-02-17T12:54:56-05:00,RG.F.SU2018.OC.035.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.38914,0
Ruler 7,2021-02-17T12:55:02-05:00,RG.F.SU2018.OC.035.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,1.355204,0
Ruler 8,2021-02-17T12:55:10-05:00,RG.F.SU2018.OC.035.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,2.719457,0
Ruler 9,2021-02-17T13:02:43-05:00,RG.F.SU2018.OC.036.psdc,Ruler Tool,Custom (208 pixel(s) = 1.0000 millimeter),millimeter,208,1,0.784026,180
Ruler 10,2021-02-17T13:06:26-05:00,RG.F.SU2018.OC.036.psdc,Ruler Tool,Custom (208 pixel(s) = 1.0000 millimeter),millimeter,208,1,0.443928,180
Ruler 11,2021-02-17T13:06:35-05:00,RG.F.SU2018.OC.036.psdc,Ruler Tool,Custom (208 pixel(s) = 1.0000 millimeter),millimeter,208,1,0.403698,180
Ruler 12,2021-02-17T13:06:51-05:00,RG.F.SU2018.OC.036.psdc,Ruler Tool,Custom (208 pixel(s) = 1.0000 millimeter),millimeter,208,1,0.52625,180
Ruler 14,2021-02-17T13:07:04-05:00,RG.F.SU2018.OC.036.psdc,Ruler Tool,Custom (208 pixel(s) = 1.0000 millimeter),millimeter,208,1,1.373876,180
Ruler 15,2021-02-17T13:11:28-05:00,RG.F.SU2018.OC.036.psdc,Ruler Tool,Custom (208 pixel(s) = 1.0000 millimeter),millimeter,208,1,2.784947,180
Ruler 16,2021-02-17T13:37:53-05:00,RG.F.SU2018.OC.034.psdc,Ruler Tool,Custom (187 pixel(s) = 1.0000 millimeter),millimeter,187,1,0.56032,180
Ruler 17,2021-02-17T13:38:05-05:00,RG.F.SU2018.OC.034.psdc,Ruler Tool,Custom (187 pixel(s) = 1.0000 millimeter),millimeter,187,1,0.645035,180
Ruler 18,2021-02-17T13:38:16-05:00,RG.F.SU2018.OC.034.psdc,Ruler Tool,Custom (187 pixel(s) = 1.0000 millimeter),millimeter,187,1,0.29608,180
Ruler 19,2021-02-17T13:38:25-05:00,RG.F.SU2018.OC.034.psdc,Ruler Tool,Custom (187 pixel(s) = 1.0000 millimeter),millimeter,187,1,1.501435,180
Ruler 25,2021-02-17T13:58:44-05:00,RG.F.SU2018.OC.033.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.626949,180
Ruler 26,2021-02-17T13:58:56-05:00,RG.F.SU2018.OC.033.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.597549,180
