Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 4,2022-01-08T18:24:29-05:00,RG.M.SU2018.NC.001.psdc,Ruler Tool,Custom (233 pixel(s) = 1.0000 millimeter),millimeter,233,1,1.307806,0
Ruler 5,2022-01-08T18:24:33-05:00,RG.M.SU2018.NC.001.psdc,Ruler Tool,Custom (233 pixel(s) = 1.0000 millimeter),millimeter,233,1,2.619099,0
Ruler 6,2022-01-08T18:24:42-05:00,RG.M.SU2018.NC.002.psdc,Ruler Tool,Custom (213 pixel(s) = 1.0000 millimeter),millimeter,213,1,1.099912,0
Ruler 7,2022-01-08T18:24:45-05:00,RG.M.SU2018.NC.002.psdc,Ruler Tool,Custom (213 pixel(s) = 1.0000 millimeter),millimeter,213,1,0.350792,180
Ruler 8,2022-01-08T18:24:49-05:00,RG.M.SU2018.NC.002.psdc,Ruler Tool,Custom (213 pixel(s) = 1.0000 millimeter),millimeter,213,1,1.450704,180
Ruler 9,2022-01-08T18:24:53-05:00,RG.M.SU2018.NC.002.psdc,Ruler Tool,Custom (213 pixel(s) = 1.0000 millimeter),millimeter,213,1,2.721684,180
Ruler 10,2022-01-08T18:25:35-05:00,RG.M.SU2018.NC.003.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,0.940368,180
Ruler 11,2022-01-08T18:25:39-05:00,RG.M.SU2018.NC.003.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,0.385564,0
Ruler 12,2022-01-08T18:25:42-05:00,RG.M.SU2018.NC.003.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,1.325932,0
Ruler 13,2022-01-08T18:25:47-05:00,RG.M.SU2018.NC.003.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,2.618969,0
Ruler 14,2022-01-08T18:26:01-05:00,RG.M.SU2018.NC.004.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.574289,180
Ruler 15,2022-01-08T18:26:05-05:00,RG.M.SU2018.NC.004.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.741954,0
Ruler 16,2022-01-08T18:26:09-05:00,RG.M.SU2018.NC.004.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.233159,180
Ruler 17,2022-01-08T18:26:13-05:00,RG.M.SU2018.NC.004.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,1.549401,180
Ruler 18,2022-01-08T18:26:16-05:00,RG.M.SU2018.NC.004.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,3.121819,180
Ruler 19,2022-01-08T18:26:26-05:00,RG.M.SU2018.NC.005.psdc,Ruler Tool,Custom (223 pixel(s) = 1.0000 millimeter),millimeter,223,1,0.764854,180
Ruler 20,2022-01-08T18:26:29-05:00,RG.M.SU2018.NC.005.psdc,Ruler Tool,Custom (223 pixel(s) = 1.0000 millimeter),millimeter,223,1,0.411435,0
Ruler 21,2022-01-08T18:26:33-05:00,RG.M.SU2018.NC.005.psdc,Ruler Tool,Custom (223 pixel(s) = 1.0000 millimeter),millimeter,223,1,1.176289,0
Ruler 22,2022-01-08T18:26:36-05:00,RG.M.SU2018.NC.005.psdc,Ruler Tool,Custom (223 pixel(s) = 1.0000 millimeter),millimeter,223,1,2.355381,0
Ruler 23,2022-01-08T18:26:50-05:00,RG.M.SU2018.NC.006.psdc,Ruler Tool,Custom (232 pixel(s) = 1.0000 millimeter),millimeter,232,1,0.932651,180
Ruler 24,2022-01-08T18:26:53-05:00,RG.M.SU2018.NC.006.psdc,Ruler Tool,Custom (232 pixel(s) = 1.0000 millimeter),millimeter,232,1,0.1875,0
Ruler 25,2022-01-08T18:26:57-05:00,RG.M.SU2018.NC.006.psdc,Ruler Tool,Custom (232 pixel(s) = 1.0000 millimeter),millimeter,232,1,1.120151,0
Ruler 26,2022-01-08T18:27-05:00,RG.M.SU2018.NC.006.psdc,Ruler Tool,Custom (232 pixel(s) = 1.0000 millimeter),millimeter,232,1,2.152883,0
Ruler 27,2022-01-08T18:27:11-05:00,RG.M.SU2018.NC.008.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.415724,0
Ruler 28,2022-01-08T18:27:16-05:00,RG.M.SU2018.NC.008.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.75,180
Ruler 29,2022-01-08T18:27:19-05:00,RG.M.SU2018.NC.008.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,0.106193,0
Ruler 30,2022-01-08T18:27:25-05:00,RG.M.SU2018.NC.008.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,1.271917,0
Ruler 31,2022-01-08T18:27:30-05:00,RG.M.SU2018.NC.008.psdc,Ruler Tool,Custom (221 pixel(s) = 1.0000 millimeter),millimeter,221,1,2.499717,0
