Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 35,2021-11-22T17:36:11-05:00,RG.M.SU2018.OC.001.psdc,Ruler Tool,Custom (209 pixel(s) = 1.0000 millimeter),millimeter,209,1,0.65289,0
Ruler 36,2021-11-22T17:36:15-05:00,RG.M.SU2018.OC.001.psdc,Ruler Tool,Custom (209 pixel(s) = 1.0000 millimeter),millimeter,209,1,0.507447,180
Ruler 37,2021-11-22T17:36:18-05:00,RG.M.SU2018.OC.001.psdc,Ruler Tool,Custom (209 pixel(s) = 1.0000 millimeter),millimeter,209,1,0.140436,0
Ruler 38,2021-11-22T17:36:22-05:00,RG.M.SU2018.OC.001.psdc,Ruler Tool,Custom (209 pixel(s) = 1.0000 millimeter),millimeter,209,1,1.300773,0
Ruler 39,2021-11-22T17:36:25-05:00,RG.M.SU2018.OC.001.psdc,Ruler Tool,Custom (209 pixel(s) = 1.0000 millimeter),millimeter,209,1,2.675208,0
Ruler 40,2021-11-22T17:38:31-05:00,RG.M.SU2018.OC.002.psdc,Ruler Tool,Custom (175 pixel(s) = 1.0000 millimeter),millimeter,175,1,0.637201,180
Ruler 41,2021-11-22T17:38:37-05:00,RG.M.SU2018.OC.002.psdc,Ruler Tool,Custom (175 pixel(s) = 1.0000 millimeter),millimeter,175,1,0.709217,0
Ruler 42,2021-11-22T17:38:41-05:00,RG.M.SU2018.OC.002.psdc,Ruler Tool,Custom (175 pixel(s) = 1.0000 millimeter),millimeter,175,1,0.241523,180
Ruler 43,2021-11-22T17:38:44-05:00,RG.M.SU2018.OC.002.psdc,Ruler Tool,Custom (175 pixel(s) = 1.0000 millimeter),millimeter,175,1,1.587942,180
Ruler 44,2021-11-22T17:38:51-05:00,RG.M.SU2018.OC.002.psdc,Ruler Tool,Custom (175 pixel(s) = 1.0000 millimeter),millimeter,175,1,3.101001,180
Ruler 45,2021-11-22T17:54:27-05:00,RG.M.SU2018.OC.003.psdc,Ruler Tool,Custom (200 pixel(s) = 1.0000 millimeter),millimeter,200,1,0.756495,180
Ruler 46,2021-11-22T17:54:31-05:00,RG.M.SU2018.OC.003.psdc,Ruler Tool,Custom (200 pixel(s) = 1.0000 millimeter),millimeter,200,1,0.35746,0
Ruler 47,2021-11-22T17:54:35-05:00,RG.M.SU2018.OC.003.psdc,Ruler Tool,Custom (200 pixel(s) = 1.0000 millimeter),millimeter,200,1,0.263048,180
Ruler 48,2021-11-22T17:54:38-05:00,RG.M.SU2018.OC.003.psdc,Ruler Tool,Custom (200 pixel(s) = 1.0000 millimeter),millimeter,200,1,1.377003,180
Ruler 49,2021-11-22T17:54:42-05:00,RG.M.SU2018.OC.003.psdc,Ruler Tool,Custom (200 pixel(s) = 1.0000 millimeter),millimeter,200,1,2.592183,180
Ruler 50,2021-11-22T18:02:05-05:00,RG.M.SU2018.OC.004.psdc,Ruler Tool,Custom (190 pixel(s) = 1.0000 millimeter),millimeter,190,1,0.615402,0
Ruler 51,2021-11-22T18:02:10-05:00,RG.M.SU2018.OC.004.psdc,Ruler Tool,Custom (190 pixel(s) = 1.0000 millimeter),millimeter,190,1,0.750785,180
Ruler 52,2021-11-22T18:02:14-05:00,RG.M.SU2018.OC.004.psdc,Ruler Tool,Custom (190 pixel(s) = 1.0000 millimeter),millimeter,190,1,0.198427,0
Ruler 53,2021-11-22T18:02:18-05:00,RG.M.SU2018.OC.004.psdc,Ruler Tool,Custom (190 pixel(s) = 1.0000 millimeter),millimeter,190,1,1.564613,0
Ruler 54,2021-11-22T18:02:21-05:00,RG.M.SU2018.OC.004.psdc,Ruler Tool,Custom (190 pixel(s) = 1.0000 millimeter),millimeter,190,1,2.964613,0
Ruler 55,2021-11-22T18:04:05-05:00,RG.M.SU2018.OC.005.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.517875,180
Ruler 56,2021-11-22T18:04:09-05:00,RG.M.SU2018.OC.005.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.441024,0
Ruler 57,2021-11-22T18:04:14-05:00,RG.M.SU2018.OC.005.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.293593,180
Ruler 58,2021-11-22T18:04:17-05:00,RG.M.SU2018.OC.005.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.339254,0
Ruler 59,2021-11-22T18:04:21-05:00,RG.M.SU2018.OC.005.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,1.591746,0
Ruler 60,2021-11-22T18:04:25-05:00,RG.M.SU2018.OC.005.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,2.935195,0
Ruler 61,2021-11-22T18:07-05:00,RG.M.SU2018.OC.006.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,1.163152,180
Ruler 62,2021-11-22T18:07:04-05:00,RG.M.SU2018.OC.006.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,2.396635,180
Ruler 63,2021-11-22T18:13:32-05:00,RG.M.SU2018.OC.007.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,0.505314,180
Ruler 64,2021-11-22T18:13:36-05:00,RG.M.SU2018.OC.007.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,0.684901,0
Ruler 65,2021-11-22T18:13:39-05:00,RG.M.SU2018.OC.007.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,0.217302,180
Ruler 66,2021-11-22T18:13:43-05:00,RG.M.SU2018.OC.007.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,1.407517,180
Ruler 67,2021-11-22T18:13:47-05:00,RG.M.SU2018.OC.007.psdc,Ruler Tool,Custom (204 pixel(s) = 1.0000 millimeter),millimeter,204,1,2.627217,180
Ruler 71,2021-11-22T18:16:03-05:00,RG.M.SU2018.OC.008.psdc,Ruler Tool,Custom (176 pixel(s) = 1.0000 millimeter),millimeter,176,1,0.656779,180
Ruler 72,2021-11-22T18:16:07-05:00,RG.M.SU2018.OC.008.psdc,Ruler Tool,Custom (176 pixel(s) = 1.0000 millimeter),millimeter,176,1,0.815619,0
Ruler 73,2021-11-22T18:16:10-05:00,RG.M.SU2018.OC.008.psdc,Ruler Tool,Custom (176 pixel(s) = 1.0000 millimeter),millimeter,176,1,0.153294,180
Ruler 74,2021-11-22T18:16:13-05:00,RG.M.SU2018.OC.008.psdc,Ruler Tool,Custom (176 pixel(s) = 1.0000 millimeter),millimeter,176,1,1.625691,180
Ruler 75,2021-11-22T18:16:16-05:00,RG.M.SU2018.OC.008.psdc,Ruler Tool,Custom (176 pixel(s) = 1.0000 millimeter),millimeter,176,1,3.167089,180
Ruler 76,2021-11-22T18:17-05:00,RG.M.SU2018.OC.009.psdc,Ruler Tool,Custom (203 pixel(s) = 1.0000 millimeter),millimeter,203,1,0.665066,180
Ruler 77,2021-11-22T18:17:04-05:00,RG.M.SU2018.OC.009.psdc,Ruler Tool,Custom (203 pixel(s) = 1.0000 millimeter),millimeter,203,1,0.608222,0
Ruler 78,2021-11-22T18:17:07-05:00,RG.M.SU2018.OC.009.psdc,Ruler Tool,Custom (203 pixel(s) = 1.0000 millimeter),millimeter,203,1,0.156252,180
Ruler 79,2021-11-22T18:17:11-05:00,RG.M.SU2018.OC.009.psdc,Ruler Tool,Custom (203 pixel(s) = 1.0000 millimeter),millimeter,203,1,1.42954,180
Ruler 80,2021-11-22T18:17:16-05:00,RG.M.SU2018.OC.009.psdc,Ruler Tool,Custom (203 pixel(s) = 1.0000 millimeter),millimeter,203,1,2.762298,180
Ruler 81,2021-11-22T18:18:46-05:00,RG.M.SU2018.OC.010.psdc,Ruler Tool,Custom (191 pixel(s) = 1.0000 millimeter),millimeter,191,1,0.569538,180
Ruler 82,2021-11-22T18:18:49-05:00,RG.M.SU2018.OC.010.psdc,Ruler Tool,Custom (191 pixel(s) = 1.0000 millimeter),millimeter,191,1,0.77505,0
Ruler 83,2021-11-22T18:18:53-05:00,RG.M.SU2018.OC.010.psdc,Ruler Tool,Custom (191 pixel(s) = 1.0000 millimeter),millimeter,191,1,0.212626,180
Ruler 84,2021-11-22T18:18:58-05:00,RG.M.SU2018.OC.010.psdc,Ruler Tool,Custom (191 pixel(s) = 1.0000 millimeter),millimeter,191,1,1.557214,180
Ruler 85,2021-11-22T18:19:01-05:00,RG.M.SU2018.OC.010.psdc,Ruler Tool,Custom (191 pixel(s) = 1.0000 millimeter),millimeter,191,1,2.989605,180
Ruler 86,2021-11-22T18:19:47-05:00,RG.M.SU2018.OC.011.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,0.709812,180
Ruler 87,2021-11-22T18:19:52-05:00,RG.M.SU2018.OC.011.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,0.856153,0
Ruler 88,2021-11-22T18:19:55-05:00,RG.M.SU2018.OC.011.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,1.565965,0
Ruler 89,2021-11-22T18:19:59-05:00,RG.M.SU2018.OC.011.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,3.033266,0
Ruler 90,2021-11-22T18:20:59-05:00,RG.M.SU2018.OC.012.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,0.649592,180
Ruler 91,2021-11-22T18:21:02-05:00,RG.M.SU2018.OC.012.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,0.801063,0
Ruler 92,2021-11-22T18:21:06-05:00,RG.M.SU2018.OC.012.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,0.094161,180
Ruler 93,2021-11-22T18:21:10-05:00,RG.M.SU2018.OC.012.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,1.544817,180
Ruler 94,2021-11-22T18:21:15-05:00,RG.M.SU2018.OC.012.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,3.139229,180
Ruler 95,2021-11-22T18:22:34-05:00,RG.M.SU2018.OC.013.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.43518,180
Ruler 96,2021-11-22T18:22:39-05:00,RG.M.SU2018.OC.013.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.593852,0
Ruler 97,2021-11-22T18:22:41-05:00,RG.M.SU2018.OC.013.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.708226,180
Ruler 98,2021-11-22T18:22:45-05:00,RG.M.SU2018.OC.013.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.06052,0
Ruler 99,2021-11-22T18:22:48-05:00,RG.M.SU2018.OC.013.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,1.797778,0
Ruler 100,2021-11-22T18:22:52-05:00,RG.M.SU2018.OC.013.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,3.381501,0
Ruler 2,2022-01-07T17:13:19-05:00,RG.M.SU2018.OC.019.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,0.500521,180
Ruler 3,2022-01-07T17:13:23-05:00,RG.M.SU2018.OC.019.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,0.674132,0
Ruler 4,2022-01-07T17:13:27-05:00,RG.M.SU2018.OC.019.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,0.266667,180
Ruler 5,2022-01-07T17:13:30-05:00,RG.M.SU2018.OC.019.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,1.441319,180
Ruler 6,2022-01-07T17:13:34-05:00,RG.M.SU2018.OC.019.psdc,Ruler Tool,Custom (180 pixel(s) = 1.0000 millimeter),millimeter,180,1,2.775347,180
Ruler 7,2022-01-07T17:13:44-05:00,RG.M.SU2018.OC.020.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.837762,180
Ruler 8,2022-01-07T17:13:47-05:00,RG.M.SU2018.OC.020.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,0.740457,0
Ruler 9,2022-01-07T17:13:51-05:00,RG.M.SU2018.OC.020.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,1.578219,0
Ruler 10,2022-01-07T17:13:55-05:00,RG.M.SU2018.OC.020.psdc,Ruler Tool,Custom (167 pixel(s) = 1.0000 millimeter),millimeter,167,1,2.885666,0
Ruler 13,2022-01-07T17:14:37-05:00,RG.M.SU2018.OC.021.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.785664,0
Ruler 14,2022-01-07T17:14:40-05:00,RG.M.SU2018.OC.021.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.69262,180
Ruler 15,2022-01-07T17:14:44-05:00,RG.M.SU2018.OC.021.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,1.478284,180
Ruler 16,2022-01-07T17:14:47-05:00,RG.M.SU2018.OC.021.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,2.961511,180
Ruler 17,2022-01-07T17:15:05-05:00,RG.M.SU2018.OC.022.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,0.834328,0
Ruler 18,2022-01-07T17:15:08-05:00,RG.M.SU2018.OC.022.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,0.630182,180
Ruler 19,2022-01-07T17:15:12-05:00,RG.M.SU2018.OC.022.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,1.46451,180
Ruler 20,2022-01-07T17:15:16-05:00,RG.M.SU2018.OC.022.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,2.92902,180
Ruler 21,2022-01-07T17:15:34-05:00,RG.M.SU2018.OC.023.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,0.44598,180
Ruler 22,2022-01-07T17:15:38-05:00,RG.M.SU2018.OC.023.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,0.424309,0
Ruler 23,2022-01-07T17:15:41-05:00,RG.M.SU2018.OC.023.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,0.273398,180
Ruler 24,2022-01-07T17:15:45-05:00,RG.M.SU2018.OC.023.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,0.132852,0
Ruler 25,2022-01-07T17:15:49-05:00,RG.M.SU2018.OC.023.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,1.276539,0
Ruler 26,2022-01-07T17:15:53-05:00,RG.M.SU2018.OC.023.psdc,Ruler Tool,Custom (199 pixel(s) = 1.0000 millimeter),millimeter,199,1,2.472676,0
Ruler 27,2022-01-07T17:20:26-05:00,RG.M.SU2018.OC.024.psdc,Ruler Tool,Custom (231 pixel(s) = 1.0000 millimeter),millimeter,231,1,0.706304,0
Ruler 28,2022-01-07T17:20:30-05:00,RG.M.SU2018.OC.024.psdc,Ruler Tool,Custom (231 pixel(s) = 1.0000 millimeter),millimeter,231,1,0.47335,180
Ruler 29,2022-01-07T17:20:33-05:00,RG.M.SU2018.OC.024.psdc,Ruler Tool,Custom (231 pixel(s) = 1.0000 millimeter),millimeter,231,1,1.179654,180
Ruler 30,2022-01-07T17:20:36-05:00,RG.M.SU2018.OC.024.psdc,Ruler Tool,Custom (231 pixel(s) = 1.0000 millimeter),millimeter,231,1,2.417614,180
Ruler 31,2022-01-07T17:20:51-05:00,RG.M.SU2018.OC.025.psdc,Ruler Tool,Custom (163 pixel(s) = 1.0000 millimeter),millimeter,163,1,0.510736,180
