Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 1,2021-07-08T09:40:16-04:00,RG.F.SU2018.NR.018.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,0.876994,180
Ruler 2,2021-07-08T09:40:21-04:00,RG.F.SU2018.NR.018.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,0.681737,0
Ruler 3,2021-07-08T09:40:26-04:00,RG.F.SU2018.NR.018.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,1.558731,0
Ruler 4,2021-07-08T09:40:56-04:00,RG.F.SU2018.NR.018.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,3.141891,0
Ruler 5,2021-07-08T09:45:36-04:00,RG.F.SU2018.NR.019.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,0.757535,180
Ruler 6,2021-07-08T09:45:42-04:00,RG.F.SU2018.NR.019.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,0.752065,0
Ruler 7,2021-07-08T09:45:46-04:00,RG.F.SU2018.NR.019.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,1.509601,0
Ruler 8,2021-07-08T09:45:51-04:00,RG.F.SU2018.NR.019.psdc,Ruler Tool,Custom (192 pixel(s) = 1.0000 millimeter),millimeter,192,1,2.955038,0
Ruler 9,2021-07-08T09:50:52-04:00,RG.F.SU2018.NR.017.psdc,Ruler Tool,Custom (224 pixel(s) = 1.0000 millimeter),millimeter,224,1,0.900183,180
Ruler 10,2021-07-08T09:50:55-04:00,RG.F.SU2018.NR.017.psdc,Ruler Tool,Custom (224 pixel(s) = 1.0000 millimeter),millimeter,224,1,1.49012,180
Ruler 11,2021-07-08T09:51-04:00,RG.F.SU2018.NR.017.psdc,Ruler Tool,Custom (224 pixel(s) = 1.0000 millimeter),millimeter,224,1,0.589937,180
Ruler 12,2021-07-08T09:51:29-04:00,RG.F.SU2018.NR.017.psdc,Ruler Tool,Custom (224 pixel(s) = 1.0000 millimeter),millimeter,224,1,2.72095,180
Ruler 13,2021-07-08T09:59:09-04:00,RG.F.SU2018.NR.016.psdc,Ruler Tool,Custom (201 pixel(s) = 1.0000 millimeter),millimeter,201,1,1.145358,180
