Label,Date and Time,Document,Source,Scale,Scale Units,Scale Factor,Count,Length,Angle
Ruler 1,2021-02-20T10:05:45-05:00,RG.M.SU2018.NR.001.psdc,Ruler Tool,Custom (212 pixel(s) = 1.0000 millimeter),millimeter,212,1,0.693938,180
Ruler 2,2021-02-20T10:05:48-05:00,RG.M.SU2018.NR.001.psdc,Ruler Tool,Custom (212 pixel(s) = 1.0000 millimeter),millimeter,212,1,0.603019,0
Ruler 3,2021-02-20T10:05:52-05:00,RG.M.SU2018.NR.001.psdc,Ruler Tool,Custom (212 pixel(s) = 1.0000 millimeter),millimeter,212,1,1.296957,0
Ruler 4,2021-02-20T10:06-05:00,RG.M.SU2018.NR.001.psdc,Ruler Tool,Custom (212 pixel(s) = 1.0000 millimeter),millimeter,212,1,2.594005,0
Ruler 5,2021-02-20T10:07:34-05:00,RG.M.SU2018.NR.002.psdc,Ruler Tool,Custom (185 pixel(s) = 1.0000 millimeter),millimeter,185,1,1.008571,180
Ruler 6,2021-02-20T10:07:37-05:00,RG.M.SU2018.NR.002.psdc,Ruler Tool,Custom (185 pixel(s) = 1.0000 millimeter),millimeter,185,1,0.565911,0
Ruler 7,2021-02-20T10:07:41-05:00,RG.M.SU2018.NR.002.psdc,Ruler Tool,Custom (185 pixel(s) = 1.0000 millimeter),millimeter,185,1,3.040561,0
Ruler 8,2021-02-20T10:10:10-05:00,RG.M.SU2018.NR.003.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,0.345401,180
Ruler 9,2021-02-20T10:10:14-05:00,RG.M.SU2018.NR.003.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,0.50817,0
Ruler 10,2021-02-20T10:10:16-05:00,RG.M.SU2018.NR.003.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,0.333613,180
Ruler 11,2021-02-20T10:10:19-05:00,RG.M.SU2018.NR.003.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,0.310967,0
Ruler 12,2021-02-20T10:10:22-05:00,RG.M.SU2018.NR.003.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,1.498152,0
Ruler 13,2021-02-20T10:10:28-05:00,RG.M.SU2018.NR.003.psdc,Ruler Tool,Custom (184 pixel(s) = 1.0000 millimeter),millimeter,184,1,2.856502,0
Ruler 14,2021-02-20T10:12:57-05:00,RG.M.SU2018.NR.004.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.796702,180
Ruler 15,2021-02-20T10:13:01-05:00,RG.M.SU2018.NR.004.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,0.549137,0
Ruler 16,2021-02-20T10:13:05-05:00,RG.M.SU2018.NR.004.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,1.345839,0
Ruler 17,2021-02-20T10:13:10-05:00,RG.M.SU2018.NR.004.psdc,Ruler Tool,Custom (177 pixel(s) = 1.0000 millimeter),millimeter,177,1,2.693076,0
Ruler 18,2021-02-20T10:18:10-05:00,RG.M.SU2018.NR.005.psdc,Ruler Tool,Custom (211 pixel(s) = 1.0000 millimeter),millimeter,211,1,0.844848,180
Ruler 19,2021-02-20T10:18:13-05:00,RG.M.SU2018.NR.005.psdc,Ruler Tool,Custom (211 pixel(s) = 1.0000 millimeter),millimeter,211,1,0.642507,0
Ruler 20,2021-02-20T10:18:17-05:00,RG.M.SU2018.NR.005.psdc,Ruler Tool,Custom (211 pixel(s) = 1.0000 millimeter),millimeter,211,1,1.487355,0
Ruler 21,2021-02-20T10:18:23-05:00,RG.M.SU2018.NR.005.psdc,Ruler Tool,Custom (211 pixel(s) = 1.0000 millimeter),millimeter,211,1,2.766021,0
Ruler 22,2021-02-20T10:21:55-05:00,RG.M.SU2018.NR.006.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,0.597284,180
Ruler 23,2021-02-20T10:22-05:00,RG.M.SU2018.NR.006.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,0.734565,0
Ruler 24,2021-02-20T10:22:04-05:00,RG.M.SU2018.NR.006.psdc,Ruler Tool,Custom (202 pixel(s) = 1.0000 millimeter),millimeter,202,1,0.071253,180
